x,y,z,
18.269675476,-9.308864609,0.000000000,
18.033113980,-8.990978966,0.000000000,
17.788646011,-8.676102366,0.000000000,
17.540703021,-8.366486167,0.000000000,
17.292898029,-8.063810783,0.000000000,
17.048107257,-7.769270084,0.000000000,
16.808570766,-7.483657864,0.000000000,
16.575995295,-7.207447881,0.000000000,
16.351649774,-6.940863533,0.000000000,
16.136449168,-6.683936094,0.000000000,
15.931025446,-6.436552085,0.000000000,
15.735786180,-6.198491018,0.000000000,
15.550962175,-5.969455089,0.000000000,
15.376645810,-5.749092290,0.000000000,
15.212821653,-5.537014261,0.000000000,
15.059390982,-5.332810038,0.000000000,
14.916191486,-5.136056614,0.000000000,
14.783013115,-4.946326996,0.000000000,
14.659611144,-4.763196400,0.000000000,
14.545717076,-4.586246977,0.000000000,
14.441047848,-4.415071400,0.000000000,
14.345313981,-4.249275591,0.000000000,
14.258226842,-4.088480756,0.000000000,
14.179505287,-3.932324839,0.000000000,
14.108881906,-3.780463513,0.000000000,
14.046108941,-3.632570764,0.000000000,
13.990963897,-3.488339086,0.000000000,
13.943254931,-3.347479341,0.000000000,
13.902825948,-3.209720278,0.000000000,
13.869561298,-3.074807713,0.000000000,
13.843390169,-2.942503416,0.000000000,
13.824290269,-2.812583643,0.000000000,
13.812291120,-2.684837418,0.000000000,
13.807476377,-2.559064485,0.000000000,
13.809985415,-2.435073032,0.000000000,
13.820013905,-2.312677184,0.000000000,
13.837813178,-2.191694296,0.000000000,
13.863688374,-2.071942110,0.000000000,
13.897995026,-1.953235822,0.000000000,
13.941134044,-1.835385116,0.000000000,
13.993544503,-1.718191217,0.000000000,
14.055694146,-1.601444063,0.000000000,
14.128066778,-1.484919655,0.000000000,
14.211145895,-1.368377712,0.000000000,
14.305393411,-1.251559751,0.000000000,
14.411222171,-1.134187782,0.000000000,
14.528960130,-1.015963863,0.000000000,
14.658803963,-0.896570859,0.000000000,
14.800758588,-0.775674889,0.000000000,
14.954559043,-0.652930149,0.000000000,
15.119569742,-0.527987010,0.000000000,
15.294656407,-0.400504673,0.000000000,
15.478026233,-0.270169953,0.000000000,
15.667034145,-0.136724136,0.000000000,
15.857958850,-0.000000000,0.000000000,
16.045763063,0.140029253,0.000000000,
16.223870819,0.283188719,0.000000000,
16.384021500,0.429030702,0.000000000,
16.516292178,0.576761632,0.000000000,
16.609404896,0.725182279,0.000000000,
16.651428189,0.872664373,0.000000000,
16.630913148,1.017190224,0.000000000,
16.538355591,1.156474481,0.000000000,
16.367686824,1.288164890,0.000000000,
16.117368401,1.410087021,0.000000000,
15.790718164,1.520473222,0.000000000,
15.395346766,1.618116148,0.000000000,
14.941906628,1.702415221,0.000000000,
14.442562199,1.773323658,0.000000000,
13.909587488,1.831231933,0.000000000,
13.354340451,1.876830154,0.000000000,
12.786676130,1.910981552,0.000000000,
12.214731486,1.934623410,0.000000000,
11.644963998,1.948698658,0.000000000,
11.082331158,1.954113992,0.000000000,
10.530526849,1.951717789,0.000000000,
